Course,Location,Virtual_Golf_Version,Course_Category,Download_Size_MB,TrackMan_Source_Text,Source_URL
Aphrodite Hills,Cyprus,VG3,New Release (August 2026),911,Aphrodite Hills - Cyprus (911 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Ballybunion: Old Course,Ireland,VG3,New Release (August 2026),817,Ballybunion: Old Course - Ireland (817 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Bernardus Golf,The Netherlands,VG3,New Release (August 2026),701,Bernardus Golf - The Netherlands (701 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Bonarikogen Golf Club,Japan,VG3,New Release (August 2026),827,Bonarikogen Golf Club - Japan (827 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Chatham Hills,"Indiana, United States",VG3,New Release (August 2026),1086,"Chatham Hills - Indiana, United States (1086 MB)",https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Crans-Sur-Sierre: Severiano Ballesteros,Switzerland,VG3,New Release (August 2026),1086,Crans-Sur-Sierre: Severiano Ballesteros - Switzerland (1086 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Eagle Point Golf Club,Japan,VG3,New Release (August 2026),1084,Eagle Point Golf Club - Japan (1084 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Elisefarm Golf Club,Sweden,VG3,New Release (August 2026),910,Elisefarm Golf Club - Sweden (910 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Foxhills Bernard Hunt,United Kingdom,VG3,New Release (August 2026),871,Foxhills Bernard Hunt - United Kingdom (871 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Foxhills Longcross,United Kingdom,VG3,New Release (August 2026),872,Foxhills Longcross - United Kingdom (872 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Franklin Hills Country Club,"Michigan, United States",VG3,New Release (August 2026),1173,"Franklin Hills Country Club - Michigan, United States (1173 MB)",https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Fuji Classic,Japan,VG3,New Release (August 2026),1018,Fuji Classic - Japan 1018 (MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Hanna Country Club,Japan,VG3,New Release (August 2026),1191,Hanna Country Club - Japan (1191 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Zillertal-Uderns Golf Club,Austria,VG3,New Release (August 2026),808,Zillertal-Uderns Golf Club - Austria (808 MB),https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Abu Dhabi Golf Club - National Course,United Arab Emirates,VG2,Regular Course,,Abu Dhabi Golf Club - National Course - United Arab Emirates,https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Achimer 9 Hole,Germany,VG2,Regular Course,,Achimer 9 Hole - Germany,https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Achimer Main,Germany,VG2,Regular Course,,Achimer Main - Germany,https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Åkagården Golfklubb,Sweden,VG2,Regular Course,,Åkagården Golfklubb - Sweden,https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Åkersberga,Sweden,VG2,Regular Course,,Åkersberga - Sweden,https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Alingsås Gk,Sweden,VG2,Regular Course,,Alingsås Gk - Sweden,https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Andratx,Spain,VG2,Regular Course,,Andratx - Spain,https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Arthur Hills GC at Boyne Resort (18),"Michigan, United States",VG2,Regular Course,,"Arthur Hills GC at Boyne Resort (18) - Michigan, United States",https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
Aurora International Golf Club,Anguilla,VG2,Regular Course,,Aurora International Golf Club - Anguilla,https://support.trackmangolf.com/hc/en-us/articles/39913906600219--Release-Notes-List-of-All-Courses-in-TPS
